Keys,id,rev,version,date,code,name,created,lastUpdated,translations,categoryOptions,ignoreApproval,attributeValues,categoryCombo.id,shortName,formName,legendSets,aggregationType,valueType,inherit,displayOnVisitSchedule,displayInListNoProgram,confidential,unique,generated,pattern,orgunitScope,skipSynchronization,createdBy.id,createdBy.code,createdBy.name,createdBy.displayName,createdBy.username,lastUpdatedBy.id,lastUpdatedBy.code,lastUpdatedBy.name,lastUpdatedBy.displayName,lastUpdatedBy.username,sharing.owner,sharing.external,sharing.public,optionSet.id,programRuleActionType,programRule.id,dataElement.id,categories,dataDimensionType,skipTotal,description,programRuleActions,condition,program.id,programStage.id,priority,path,openingDate,level,parent.id,username,externalAuth,passwordLastUpdated,cogsDimensionConstraints,catDimensionConstraints,lastLogin,selfRegistered,invitation,disabled,surname,firstName,organisationUnits,dataViewOrganisationUnits,teiSearchOrganisationUnits,userRoles,sortOrder,dataDimension,domainType,aggregationLevels,zeroIsSignificant,minDaysFromStart,programStageDataElements,autoGenerateEvent,validationStrategy,displayGenerateEventBox,blockEntryForm,preGenerateUID,remindCompleted,generatedByEnrollmentDate,allowGenerateNextVisit,openAfterEnrollment,hideDueDate,enableUserAssignment,referral,repeatable,programStageSections,notificationTemplates,dataElements,programIndicators,renderType.MOBILE.type,renderType.DESKTOP.type,options,enrollmentDateLabel,incidentDateLabel,programType,displayIncidentDate,ignoreOverdueEvents,onlyEnrollOnce,selectEnrollmentDatesInFuture,selectIncidentDatesInFuture,skipOffline,displayFrontPageList,useFirstStageDuringRegistration,expiryDays,completeEventsExpiryDays,openDaysAfterCoEndDate,minAttributesRequiredToSearch,maxTeiCountToReturn,accessLevel,programStages,programSections,programTrackedEntityAttributes,trackedEntityType.id,useCodeForOptionSet,programRuleVariableSourceType,authorities,restrictions,trackedEntityTypeAttributes,featureType,allowAuditLog,style.color
trackedEntityAttributes,LQiyKyNdpQS,,,,,,2024-02-07T18:25:37.271,2024-02-08T15:20:48.055,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,SqTRIlQIPEY,ilFUim5Ge7T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,NjyZGmb7gVu,,,,,,2024-02-08T15:27:24.256,2024-02-08T15:27:24.256,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,YVan4fKKliP,WRKEQVM8vw4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,PPu48Y6tB0e,,,,,,2024-02-07T17:58:06.068,2024-02-07T17:58:06.068,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,vLIvZB4j4xj,jugFocVGZnU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,QFg5OSs8GpL,,,,,,2024-02-08T15:30:53.051,2024-02-15T15:32:53.546,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,PDUhxHrMkKn,ALEXJ8Jyd2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,Qk0wl3XMZMa,,,,,,2024-02-07T17:58:06.068,2024-02-07T17:58:06.068,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,vLIvZB4j4xj,oC7bWUGLYMz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,ZSgWWuZHkGx,,,,,,2024-02-07T17:58:06.068,2024-02-07T17:58:06.068,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,vLIvZB4j4xj,CyrtSxefuxS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,ZWt1okZ1N8k,,,,,,2024-02-08T15:29:00.749,2024-02-08T15:29:00.749,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,NC81fNHKzfa,ihH6oHvVB47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,c4z2o7tjmcV,,,,,,2024-02-07T17:58:06.068,2024-02-07T17:58:06.068,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,vLIvZB4j4xj,PCD17eJ6XH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,uDMYsPWQFf9,,,,,,2024-02-07T18:28:13.994,2024-02-15T14:51:51.464,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,lNnaIB5wz1C,VZAcRGSzDVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRuleActions,yGKr023UjUj,,,,,,2024-02-07T17:58:06.068,2024-02-07T17:58:06.068,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,vLIvZB4j4xj,U3zYkbGaUzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,bjDvmb4bfuf,,,,default,default,2023-12-17T15:53:27.635,2023-12-17T15:53:27.644,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,rw------,,,,,[{'id': 'GLevLNI9wkl'}],DISAGGREGATION,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,PDUhxHrMkKn,,,,,Ethnicity other specify,2024-02-08T15:30:53.067,2024-02-15T15:32:53.567,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,If ethnicty is other hide ethnicity other specify textbox,[{'id': 'QFg5OSs8GpL'}],"#{Ethnicity other}==""""",LSR9xdclIum,qcvOrTNMBvU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,YVan4fKKliP,,,,,Indicate what services or conditions the case sought assistance for other spec,2024-02-08T15:27:24.269,2024-02-08T15:27:24.269,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,"if Indicate what services or conditions the case sought assistance for other is not checked, hide Indicate what services or conditions the case sought assistance for other spec spec",[{'id': 'NjyZGmb7gVu'}],!#{Indicate what services the case sought assistance for Other},LSR9xdclIum,jvomle3dRSd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,lNnaIB5wz1C,,,,,"Inpateint treatment type checkbox, hide options",2024-02-07T18:28:14.040,2024-02-15T14:51:51.571,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,"If Inpateint treatment type checkbox is not selected, hid all inpatient treatment type options","[{'id': 'uDMYsPWQFf9'}, {'id': 'JUhpD7miMim'}]","#{Inpatient treatment type checkbox}==""""",LSR9xdclIum,jvomle3dRSd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,KzOfB3r43sd,,,,,Inpatient treatment type other specify,2024-02-07T18:29:48.862,2024-02-08T15:20:34.764,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,"If Inpatient treatment type other is not selected, hide Inpatient treatment type other specify",[{'id': 'EqHWkYIFLvP'}],!#{Inpatient treatment type other},LSR9xdclIum,jvomle3dRSd,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,SqTRIlQIPEY,,,,,Outpatient treatment type other specifiy,2024-02-07T18:25:37.303,2024-02-08T15:20:48.069,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,"If Outpatient treatment type other is not selected, high Outpatient treatment type other specifiy",[{'id': 'LQiyKyNdpQS'}],!#{Outpatient treatment type-other},LSR9xdclIum,jvomle3dRSd,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryCombos,vLIvZB4j4xj,,,,,Outpatient treatment types,2024-02-07T17:58:06.096,2024-02-07T17:58:06.096,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,This will show outpatient treatment type checkboxes if outpatient treatment is selected.,"[{'id': 'ZSgWWuZHkGx'}, {'id': 'Qk0wl3XMZMa'}, {'id': 'yGKr023UjUj'}, {'id': 'PPu48Y6tB0e'}, {'id': 'c4z2o7tjmcV'}]",!#{Outpatient treatment type checkbox},LSR9xdclIum,jvomle3dRSd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NC81fNHKzfa,,,,,Race other then specify,2024-02-08T15:29:00.762,2024-02-08T15:29:00.762,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,if race other is not checked then hide racd other specify textbox,[{'id': 'ZWt1okZ1N8k'}],!#{Race other},LSR9xdclIum,qcvOrTNMBvU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,AB005ncrs20,,,,SPSTab,Alberta,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Alberta,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/AB005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,BC005ncrs20,,,,SPSTbc,British Columbia,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,British Columbia,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/BC005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,Canada4ncrs,,,,SPSTcanada,Canada,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,3,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Canada,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs,1970-01-01T00:00:00.000,3.0,Spst3ncrs20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,MB005ncrs20,,,,SPSTmb,Manitoba,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Manitoba,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/MB005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NB005ncrs20,,,,SPSTnb,New Brunswick,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,New Brunswick,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/NB005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NL005ncrs20,,,,SPSTnl,Newfoundland and Labrador,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Newfoundland and Labrador,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/NL005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NT005ncrs20,,,,SPSTnt,Northwest Territories,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Northwest Territories,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/NT005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NS005ncrs20,,,,SPSTns,Nova Scotia,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Nova Scotia,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/NS005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,NU005ncrs20,,,,SPSTnu,Nunavut,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Nunavut,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/NU005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,ON005ncrs20,,,,SPSTon,Ontario,2024-01-11T14:41:31.412,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Ontario,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/ON005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,OnOia06ncrs,,,,SPSTonoia,Ontario OIA,2024-01-11T14:41:31.413,2024-01-11T14:41:31.595,[],,,[],,5,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Ontario OIA,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/ON005ncrs20/OnOia06ncrs,1970-01-01T00:00:00.000,5.0,ON005ncrs20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,OnFull06ncr,,,,SPSTonp,Ontario paper,2024-01-11T14:41:31.413,2024-01-11T14:41:31.595,[],,,[],,5,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Ontario paper,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/ON005ncrs20/OnFull06ncr,1970-01-01T00:00:00.000,5.0,ON005ncrs20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,PE005ncrs20,,,,SPSTpe,Prince Edward Island,2024-01-11T14:41:31.413,2024-01-11T14:41:31.595,[],,,[],,4,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,,,,,,,Prince Edward Island,,,,,,/CVAcxPwuVcZ/Spst3ncrs20/Canada4ncrs/PE005ncrs20,1970-01-01T00:00:00.000,4.0,Canada4ncrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programRules,CVAcxPwuVcZ,,,,,Public Health Agency of Canada,2023-12-20T19:14:25.901,2023-12-20T19:14:26.297,[],,,[],,PHAC,,,,,,,,,,,,,,M5zQapPyTZI,admin,admin admin,admin admin,admin,M5zQapPyTZI,admin,admin admin,admin admin,admin,,,,,,,,,,,,,,,,,/CVAcxPwuVcZ,2023-12-20T00:00:00.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
